"code             ","rgb             ","hex    ","name                  ","category                       "
"17-6153 TCX      ","rgb(0,140,69)   ","#008C45","Fern Green            ","Fashion and Interior Designers "
"18-5841 TCX      ","rgb(0,125,96)   ","#007D60","Pepper Green          ","Fashion and Interior Designers "
"17-5528 TCX      ","rgb(0,125,105)  ","#007D69","Greenlake             ","Fashion and Interior Designers "
"17-5024 TCX      ","rgb(0,127,124)  ","#007F7C","Teal Blue             ","Fashion and Interior Designers "
"18-5128 TCX      ","rgb(0,124,122)  ","#007C7A","Blue Grass            ","Fashion and Interior Designers "
"18-4733 TCX      ","rgb(0,122,142)  ","#007A8E","Enamel Blue           ","Fashion and Interior Designers "
"18-4525 TCX      ","rgb(0,129,157)  ","#00819D","Caribbean Sea         ","Fashion and Interior Designers "
"17-6030 TPX      ","rgb(0,135,79)   ","#00874F","Jelly Bean            ","Fashion and Interior Designers "
"17-5734 TCX      ","rgb(0,132,107)  ","#00846B","Viridis               ","Fashion and Interior Designers "
"18-5642 TCX      ","rgb(0,135,99)   ","#008763","Golf Green            ","Fashion and Interior Designers "
"17-5029 TCX      ","rgb(0,131,129)  ","#008381","Deep Peacock Blue     ","Fashion and Interior Designers "
"17-5430 TCX      ","rgb(0,135,120)  ","#008778","Alhambra              ","Fashion and Interior Designers "
"17-5025 TCX      ","rgb(0,133,131)  ","#008583","Navigate              ","Fashion and Interior Designers "
"17-5034 TCX      ","rgb(0,134,132)  ","#008684","Lapis                 ","Fashion and Interior Designers "
"18-4930 TCX      ","rgb(0,135,134)  ","#008786","Tropical Green        ","Fashion and Interior Designers "
"18-4735 TCX      ","rgb(0,132,145)  ","#008491","Tile Blue             ","Fashion and Interior Designers "
"17-4728 TCX      ","rgb(0,133,156)  ","#00859C","Algiers Blue          ","Fashion and Interior Designers "
"17-4730 TCX      ","rgb(0,132,159)  ","#00849F","Caneel Bay            ","Fashion and Interior Designers "
"17-4735 TCX      ","rgb(0,135,153)  ","#008799","Capri Breeze          ","Fashion and Interior Designers "
"17-4928 TCX      ","rgb(0,140,150)  ","#008C96","Lake Blue             ","Fashion and Interior Designers "
"17-4530 TCX      ","rgb(0,132,161)  ","#0084A1","Barrier Reef          ","Fashion and Interior Designers "
"17-4432 TCX      ","rgb(0,136,176)  ","#0088B0","Vivid Blue            ","Fashion and Interior Designers "
"17-4440 TCX      ","rgb(0,135,182)  ","#0087B6","Blue Danube           ","Fashion and Interior Designers "
"17-4436 TN       ","rgb(0,137,185)  ","#0089B9","Atomic Blue           ","Fashion and Interior Designers "
"17-5735 TCX      ","rgb(0,140,105)  ","#008C69","Parakeet              ","Fashion and Interior Designers "
"17-5330 TCX      ","rgb(0,142,128)  ","#008E80","Dynasty Green         ","Fashion and Interior Designers "
"17-5633 TCX      ","rgb(0,146,118)  ","#009276","Deep Green            ","Fashion and Interior Designers "
"17-5130 TCX      ","rgb(0,146,136)  ","#009288","Columbia              ","Fashion and Interior Designers "
"15-5534 TCX      ","rgb(0,155,92)   ","#009B5C","Bright Green          ","Fashion and Interior Designers "
"17-5641 TCX      ","rgb(0,148,115)  ","#009473","Emerald               ","Fashion and Interior Designers "
"16-5938 TCX      ","rgb(0,161,112)  ","#00A170","Mint                  ","Fashion and Interior Designers "
"17-5936 TCX      ","rgb(0,155,117)  ","#009B75","Simply Green          ","Fashion and Interior Designers "
"17-5937 TCX      ","rgb(0,158,109)  ","#009E6D","Deep Mint             ","Fashion and Interior Designers "
"17-5638 TCX      ","rgb(0,158,130)  ","#009E82","Vivid Green           ","Fashion and Interior Designers "
"17-5335 TCX      ","rgb(0,155,140)  ","#009B8C","Spectra Green         ","Fashion and Interior Designers "
"17-5126 TCX      ","rgb(0,148,153)  ","#009499","Viridian Green        ","Fashion and Interior Designers "
"16-5932 TPX      ","rgb(0,161,118)  ","#00A176","Holly Green           ","Fashion and Interior Designers "
"16-5942 TCX      ","rgb(0,167,118)  ","#00A776","Blarney               ","Fashion and Interior Designers "
"16-5421 TPX      ","rgb(0,160,134)  ","#00A086","Sea Green             ","Fashion and Interior Designers "
"16-5431 TCX      ","rgb(0,167,139)  ","#00A78B","Peacock Green         ","Fashion and Interior Designers "
"16-5533 TCX      ","rgb(0,162,138)  ","#00A28A","Arcadia               ","Fashion and Interior Designers "
"16-4834 TCX      ","rgb(0,157,174)  ","#009DAE","Bluebird              ","Fashion and Interior Designers "
"16-4728 TCX      ","rgb(0,160,176)  ","#00A0B0","Peacock Blue          ","Fashion and Interior Designers "
"16-5127 TCX      ","rgb(0,170,169)  ","#00AAA9","Ceramic               ","Fashion and Interior Designers "
"16-4529 TPX      ","rgb(0,166,203)  ","#00A6CB","Cyan Blue             ","Fashion and Interior Designers "
"16-4535 TCX      ","rgb(0,177,210)  ","#00B1D2","Blue Atoll            ","Fashion and Interior Designers "
"16-6138 TPX      ","rgb(25,157,92)  ","#199D5C","Kelly Green           ","Fashion and Interior Designers "
"16-5427 TCX      ","rgb(0,170,146)  ","#00AA92","Billiard              ","Fashion and Interior Designers "
"15-5425 TCX      ","rgb(0,175,159)  ","#00AF9F","Atlantis              ","Fashion and Interior Designers "
"16-5425 TCX      ","rgb(0,175,157)  ","#00AF9D","Pool Green            ","Fashion and Interior Designers "
